鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號,總樓層數_int
萬華區,房地(土地+建物)+車位,長沙街二段61~90號,6.65,都市：其他:第四種商業區。,,,1100220,土地1建物1車位1,七層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950127,88.50999999999999,2,1,2,有,有,14690000,165970,其他,0.0,0,,RPSOMLPJLHGGFBA27DA,47.59,0.0,3.03,有,,14
大同區,房地(土地+建物)+車位,南京西路211~240號,24.79,都市：其他:第三種商業區。,,,1100209,土地1建物1車位2,八層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1030317,283.72,4,2,2,有,有,62500000,220288,坡道平面,51.24,0,,RPTOMLSJLHGGFBA67DA,138.35,11.12,11.6,有,5.0,14
松山區,房地(土地+建物),民生東路五段151~180號,22.63,都市：其他:第三種商業區(民生社區特定專用區)。,,,1100126,土地1建物1車位0,九層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0720915,246.29,5,2,3,有,有,46000000,186772,,0.0,0,陽台外推;,RPUOMLSJLHGGFDA97DA,184.18,0.0,14.24,有,,16
大安區,房地(土地+建物),和平東路三段451~480號,13.15,都市：其他:第三種住宅區。,,,1061105,土地1建物1車位0,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,77.21000000000001,2,1,1,有,無,18650000,241549,,0.0,0,,RPPOMLLJLHGGFFA96DA,45.63,0.0,3.21,有,,13
大安區,房地(土地+建物)+車位,和平東路三段421~450號,16.47,都市：其他:第三種住宅區。,,,1060823,土地1建物1車位1,八層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,138.8,2,2,1,有,無,25900000,245645,坡道平面,42.93,2350000,,RPQOMLLJLHGGFFA07DA,53.74,0.0,6.95,有,,13
大安區,房地(土地+建物)+車位,和平東路三段421~450號,16.47,都市：其他:第三種住宅區。,,,1061016,土地1建物1車位1,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,132.87,2,2,1,有,無,26350000,251356,坡道平面,36.99,2250000,,RPSOMLLJLHGGFFA27DA,53.74,0.0,6.95,有,,13
大安區,房地(土地+建物),和平東路三段421~450號,11.93,都市：其他:第三種住宅區。,,,1061122,土地1建物1車位0,十一層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,70.09,2,2,1,有,無,17700000,252532,,0.0,0,,RPTOMLLJLHGGFFA37DA,40.76,0.0,3.59,有,,13
大安區,房地(土地+建物),和平東路三段421~450號,11.93,都市：其他:第三種住宅區。,,,1061112,土地1建物1車位0,十二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,70.09,2,1,1,有,無,17900000,255386,,0.0,0,,RPVOMLLJLHGGFFA57DA,40.76,0.0,3.59,有,,13
大安區,房地(土地+建物)+車位,和平東路三段421~450號,12.07,都市：其他:第三種住宅區。,,,1061124,土地1建物1車位1,九層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,113.00999999999999,2,2,1,有,無,19650000,246861,坡道平面,42.93,2350000,,RPXOMLLJLHGGFFA77DA,40.76,0.0,3.59,有,,13
大安區,房地(土地+建物),和平東路三段421~450號,12.85,都市：其他:第三種住宅區。,,,1060726,土地1建物1車位0,二層,十三層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1090804,75.42,2,1,1,有,無,18100000,239989,,0.0,0,,RPQPMLLJLHGGFFA17DA,43.84,0.0,3.9,有,,13
