鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
西區,房地(土地+建物),向上南路一段133巷1~30號,87.0,都市：其他:第二種住宅區,,,1100201,土地1建物1車位0,全,二層,透天厝,住家用,加強磚造,0640725,100.68,3,2,2,有,無,12600000,125149,,0.0,0,陽台外推;頂樓加蓋;其他增建;,RPORMLLJKHGGFAB66DA,100.68,0.0,0.0,無,
南區,房地(土地+建物),復興路一段301~330號,8.99,都市：其他:第二種商業區,,,1100118,土地2建物1車位0,二層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0941219,67.81,2,1,1,有,有,3500000,51615,,0.0,0,,RPVNMLNJKHGGFAB17DA,37.91,5.56,0.0,有,
東區,房地(土地+建物),東英十七街66巷1~30號,141.83,都市：其他:第一種住宅區,,,1100127,土地3建物1車位0,全,五層,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1050705,333.25,5,3,7,有,有,29000000,87022,,0.0,0,土地總價＄1885萬元整建物總價＄1015萬元整陽台外推;夾層;其他增建;,RPSPMLOJKHGGFAB17DA,303.15,30.1,0.0,有,
西區,房地(土地+建物),成功路181~210號,138.0,都市：其他:第二種住宅區,,,1100107,土地3建物1車位0,全,二層,透天厝,店舖,煉瓦木混瓦葺造,,98.47,2,2,2,有,無,7306859,74204,,0.0,0,含土地增值稅或其他稅費;親友、員工、共有人或其他特殊關係間之交易;未登記建物;未登記建物;,RPVOMLPJKHGGFAB47DA,80.77,17.7,0.0,無,
西區,房地(土地+建物)+車位,大隆路1~30號,71.97,都市：其他:第二種住宅區,,,1100112,土地1建物1車位4,四層,十四層,住宅大樓(11層含以上有電梯),商業用,鋼筋混凝土造,0791110,668.38,6,0,1,有,有,31470000,47083,坡道機械,0.0,0,,RPOPMLPJKHGGFAB86DA,483.29,69.34,0.0,有,0001
南區,房地(土地+建物)+車位,福田五街1~30號,20.45,都市：其他:第二種住宅區,,,1100123,土地2建物1車位1,十五層,二十層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1041221,161.07999999999998,3,2,2,有,有,12680000,78719,坡道平面,33.09,0,,RPORMLPJKHGGFAB07DA,77.47,8.58,0.0,有,
東區,房地(土地+建物),東英十七街66巷1~30號,145.36,都市：其他:第一種住宅區,,,1100127,土地3建物1車位0,全,五層,透天厝,住宅、停車空間、樓梯間,鋼筋混凝土造,1050705,334.77,5,3,7,有,有,28000000,83640,,0.0,0,土地交易總價＄1820萬元整建物交易總價＄980萬元整陽台外推;夾層;其他增建;,RPWOMLSJKHGGFAB87DA,304.43,30.34,0.0,有,
西區,房地(土地+建物)+車位,五權西六街165巷1~30號,10.1,都市：其他:第二種住宅區,,,1100125,土地7建物1車位2,五層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0831108,120.55999999999999,3,2,2,有,有,7800000,64698,坡道機械,0.0,0,陽台外推;,RPURMLSJKHGGFAB97DA,86.64,4.43,0.0,有,
東區,房地(土地+建物)+車位,立德街211~240號,18.53,都市：其他:第二種住宅區,,,1100205,土地1建物1車位1,三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0840623,186.6,3,2,2,有,有,8100000,43408,坡道平面,0.0,0,,RPVOMLOJLHGGFAB47DA,108.02,17.68,0.0,有,
西區,房地(土地+建物),中美街121~150號,24.4,都市：其他:第二種住宅區,,,1100119,土地3建物1車位0,五層,五層,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0760826,117.21,9,0,9,有,無,10200000,87023,,0.0,0,含土地增值稅或其他稅費;含仲介費;頂樓加蓋;含租約;,RPWPMLOJLHGGFAB67DA,112.1,5.11,0.0,無,
南區,房地(土地+建物)+車位,工學二街115巷31~60號,17.86,都市：其他:第三種住宅區。,,,1100203,土地1建物1車位1,五層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0870930,130.78,3,2,2,有,有,8415000,64345,坡道平面,25.04,0,,RPTOMLPJLHGGFAB37DA,78.17,4.86,0.0,有,
南區,房地(土地+建物),德富路61~90號,16.2,都市：其他:第二種住宅區,,,1100117,土地3建物1車位0,八層,九層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0871219,100.30000000000001,3,2,2,有,有,7380000,73579,,0.0,0,,RPXPMLPJLHGGFAB87DA,63.89,10.23,0.0,有,
西區,房地(土地+建物),民生路121~150號,5.2,都市：其他:第一種商業區,,,1100128,土地1建物2車位0,十三層,二十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨鋼筋混凝土造,0850119,83.48,2,2,2,有,有,3000000,35937,,0.0,0,,RPPNMLRJLHGGFAB07DA,40.22,3.91,0.0,有,
東區,房地(土地+建物)+車位,東南街91~120號,18.01,都市：其他:第二種住宅區,,,1100126,土地1建物1車位1,九層,九層,華廈(10層含以下有電梯),集合住宅,鋼筋混凝土造,0830218,147.21,3,2,2,有,有,7900000,53665,坡道平面,0.0,0,陽台外推;,RPTNMLSJLHGGFAB57DA,69.35,39.46,0.0,有,
南區,房地(土地+建物)+車位,忠明南路730巷31~60號,14.62,都市：其他:第三種住宅區。,,,1100122,土地1建物1車位1,十二層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0811120,116.50999999999999,3,2,2,有,有,5700000,48919,坡道機械,0.0,0,,RPVOMLSJLHGGFAB87DA,97.24,9.86,0.0,有,0002
西區,房地(土地+建物),忠誠街121~150號,19.6,都市：其他:第二種住宅區,,,1100129,土地2建物1車位0,三層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0701202,77.47,3,2,2,有,無,4900000,63250,,0.0,0,,RPWOMLSJLHGGFAB97DA,77.47,0.0,0.0,無,0003
中區,房地(土地+建物),民權路1~30號,2.74,都市：其他:第二種商業區,,,1100227,土地1建物1車位0,十層,十二層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,0851016,29.06,1,0,1,有,有,1240000,42670,,0.0,0,,RPRPMLSJLHGGFAB57DA,16.72,2.82,0.0,有,0004
