鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
鼓山區,房地(土地+建物),明倫路91~120號,30.25,都市：其他:第四種住宅區,,,1100121,土地1建物1車位0,三層,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0760508,125.55,3,2,2,有,無,4450000,35444,,0.0,0,,RPWOMLLLJHGGFAE57DA,0.0,0.0,0.0,無,
前金區,房地(土地+建物)+車位,市中一路31~60號,33.6,都市：其他:第五種商業區,,,1090715,土地1建物1車位1,七層，八層,二十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0820416,431.37,6,3,4,有,有,15500000,35932,坡道平面,0.0,0,陽台外推;,RPRNMLOLJHGGFAE27DA,276.45,37.0,0.0,有,
前金區,房地(土地+建物)+車位,中正四路91~120號,9.81,都市：其他:第五種商業區,,,1100130,土地1建物1車位1,七層,十二層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0850506,117.27000000000001,2,2,2,有,有,5900000,50311,升降機械,0.0,0,,RPXOMLLJKHGGFAE57DA,73.52,1.24,0.0,有,0001
鼓山區,房地(土地+建物),雄峰路37巷31~60號,67.62,都市：其他:第三種住宅區。,,,1100124,土地2建物1車位0,全,五層,透天厝,住家用,鋼筋混凝土造,1020820,228.99,5,2,5,有,有,17080000,74588,,0.0,0,陽台外推;其他增建;,RPSNMLSJKHGGFAE67DA,200.38,28.61,0.0,無,0002
鼓山區,房地(土地+建物)+車位,中華一路247巷15弄31~60號,25.66,都市：其他:第五種住宅區,,,1100208,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0790618,170.62,4,2,2,有,有,8200000,48060,坡道平面,0.0,0,,RPSNMLMLKHGGFAE27DA,104.22,8.39,0.0,有,0003
鹽埕區,建物,七賢三路241~270號,0.0,,,,1100204,土地0建物1車位0,十一層,十六層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0750217,90.32,1,1,1,有,有,1050000,11625,,0.0,0,,RPSNMLMJLHGGFAE17DA,0.0,0.0,0.0,有,
鼓山區,房地(土地+建物),美術南三路91~120號,13.3,都市：其他:特定第五種住宅區,,,1100217,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0930610,87.08,2,2,1,有,有,6300000,72347,,0.0,0,,RPQNMLNJLHGGFAE07DA,55.41,4.23,0.0,有,
前金區,房地(土地+建物),大同一路271~300號,4.17,都市：其他:第四種商業區,,,1100123,土地1建物1車位0,二十一層,二十八層,住宅大樓(11層含以上有電梯),集合住宅,鋼骨構造、鋼骨鋼筋混凝土構造、鋼筋混凝土造,1070904,65.05000000000001,2,1,1,有,有,5950000,91468,,0.0,0,,RPXPMLOJLHGGFAE08DA,37.38,5.0,0.0,有,0004
鼓山區,房地(土地+建物)+車位,龍勝路61~90號,12.22,都市：其他:第四種商業區,,,1100201,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941213,123.72,3,2,2,有,有,8350000,67491,坡道機械,6.02,0,,RPPNMLSJLHGGFAE47DA,69.54,13.12,0.0,有,0005
鼓山區,房地(土地+建物)+車位,美術東七街91~120號,13.75,都市：其他:特定第四種商業區,,,1100125,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0950220,146.78,3,2,2,有,有,10550000,71876,坡道平面,17.14,0,,RPXOMLSJLHGGFAE38DA,77.71,11.37,0.0,有,0006
鼓山區,房地(土地+建物)+車位,美術館路151~180號,12.82,都市：其他:特定第五種住宅區,,,1100115,土地1建物1車位2,七層,二十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0980428,99.52,3,2,3,有,有,12000000,120579,坡道平面,56.08,0,親友、員工、共有人或其他特殊關係間之交易;,RPQNMLTJLHGGFAE67DA,51.2,6.31,0.0,有,
苓雅區,房地(土地+建物),武廟路119巷1~30號,7.08,都市：其他:第四種商業區,,,1100117,土地1建物1車位0,一層，二層,十層,華廈(10層含以下有電梯),,鋼筋混凝土造,0711105,54.05,1,3,1,有,有,6100000,112858,,0.0,0,,RPPNMLLLJHGGFBE86DA,0.0,0.0,0.0,有,
苓雅區,房地(土地+建物),福德一路1~30號,28.83,都市：其他:第四種住宅區,,,1100202,土地3建物1車位0,一層，騎樓,五層,公寓(5樓含以下無電梯),,鋼筋混凝土造,0681217,73.23,2,1,1,有,無,6300000,86030,,0.0,0,其他                    ;,RPSOMLSJKHGGFBE87DA,73.23,0.0,0.0,無,
新興區,房地(土地+建物),七賢一路391~420號,15.78,都市：其他:第五種商業區,,,1100126,土地1建物1車位0,七層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0701005,169.06,3,2,2,有,有,7900000,46729,,0.0,0,,RPOOMLTKKHGGFBE67DA,144.23,0.0,0.0,有,
苓雅區,土地,正昌段601~630地號,1.06,都市：其他:道路用地,,,1100305,土地1建物0車位0,,,其他,,,,0.0,0,0,0,有,無,30000,28302,,0.0,0,包含公共設施保留地用地;,RPUNMLPJLHGGFBE77DA,0.0,0.0,0.0,無,
新興區,房地(土地+建物),六合一路91~120號,15.37,都市：其他:第五種商業區,,,1100130,土地1建物1車位0,六層,十二層,住宅大樓(11層含以上有電梯),,鋼筋混凝土造,0700815,153.14,4,2,2,有,有,4700000,30691,,0.0,0,,RPPOMLSJLHGGFBE67DA,0.0,0.0,0.0,有,
前鎮區,房地(土地+建物)+車位,育群街1~30號,9.97,都市：其他:第三種特定商業專用區,,,1091225,土地3建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土,1091120,121.0,2,2,1,有,有,7450000,61570,坡道平面,31.92,0,1.建物格局採開放式彈性設計,RPQNMLMJJHGGFCE96DA,52.38,5.62,0.0,有,
