鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
板橋區,房地(土地+建物),民族路225巷31~60號,14.8,都市：其他:住宅區,,,1090726,土地1建物1車位0,三層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090616,98.34,2,2,1,有,有,16200000,164735,,0.0,0,,RPQNMLSJKIPFFAF48DA,55.68,5.7,3.32,有,
板橋區,房地(土地+建物),民族路225巷61~90號,11.1,都市：其他:住宅區,,,1090606,土地1建物1車位0,六層,十四層,住宅大樓(11層含以上有電梯),集合住宅,鋼筋混凝土造,1090616,72.75999999999999,2,1,1,有,有,12380000,170148,,0.0,0,,RPWOMLLMKIPFFAF78DA,40.28,3.28,3.98,有,
板橋區,房地(土地+建物),莊敬路1~30號,7.45,都市：其他:住宅區,,,1100102,土地1建物1車位0,三層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0860905,93.22,3,2,2,有,有,16350000,175392,,0.0,0,,RPTNMLPKJHGGFAF57DA,73.99,0.0,4.64,有,
板橋區,房地(土地+建物),懷仁街10巷1~30號,29.25,都市：其他:住宅區,,,1091231,土地1建物1車位0,四層,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0641223,82.15,3,2,1,有,無,9000000,109556,,0.0,0,,RPPNMLPKKHGGFAF27DA,82.15,0.0,0.0,無,
板橋區,土地,中山段1831~1860地號,3.07,都市：其他:道路用地,,,1100121,土地5建物0車位0,,,其他,,,,0.0,0,0,0,有,無,1000000,325733,,0.0,0,包含公共設施保留地用地;,RPTTMLSKKHGGFAF58DA,0.0,0.0,0.0,無,0001
板橋區,房地(土地+建物),民生路三段1~30號,6.43,都市：其他:住宅區,,,1100205,土地1建物1車位0,三十層,三十一層,住宅大樓(11層含以上有電梯),住家用,鋼骨鋼筋混凝土造,0890818,139.41,3,2,2,有,有,27980000,200703,,0.0,0,其他增建;,RPTWMLKLKHGGFAF18DA,95.69,1.44,12.23,有,
板橋區,房地(土地+建物),南雅西路二段241~270號,32.0,都市：其他:住宅區,,,1100207,土地2建物1車位0,四層，陽台,四層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0670705,73.48,2,2,1,有,無,8680000,118127,,0.0,0,陽台外推;頂樓加蓋;其他增建;,RPUQMLMLKHGGFAF87DA,73.48,0.0,0.0,無,
板橋區,房地(土地+建物),龍泉街72巷2弄1~30號,22.2,都市：其他:住宅區,,,1100123,土地1建物1車位0,五層，陽台,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,,97.88,3,2,1,有,無,9550000,97568,,0.0,0,陽台外推;頂樓加蓋;其他增建;,RPPPMLOLKHGGFAF47DA,97.88,0.0,0.0,無,0002
土城區,房地(土地+建物),學成路76巷1~30號,31.09,都市：其他:第二種住宅區,,,1100124,土地1建物1車位0,五層,五層,公寓(5樓含以下無電梯),住家用,鋼筋混凝土造,0760110,103.54,6,3,3,有,無,11750000,113483,,0.0,0,陽台外推;頂樓加蓋;,RPTNMLNJLHGGFAF47DA,95.89,0.6,7.05,無,0003
