鄉鎮市區,交易標的,土地區段位置建物區段門牌,土地移轉總面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,交易年月日,交易筆棟數,移轉層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物移轉總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,總價元,單價元平方公尺,車位類別,車位移轉總面積(平方公尺),車位總價元,備註,編號,主建物面積,附屬建物面積,陽台面積,電梯,移轉編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number,,,,,
桃園區,房地(土地+建物)+車位,國強六街1~30號,57.78,都市：其他:第二種住宅區,,,1100114,土地1建物1車位1,九層，十層,十層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0881117,169.01,4,2,3,有,有,8600000,50885,坡道機械,0.0,0,夾層;,RPOWMLMLJHGGFAH97DA,107.86,0.0,8.89,有,
桃園區,房地(土地+建物)+車位,民生路301~330號,5.64,都市：其他:河川區,,,1091225,土地2建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0960906,79.96000000000001,1,1,1,有,有,5150000,64407,坡道平面,30.36,0,,RPQQMLQLJHGGFAH97DA,29.16,0.0,3.27,有,
桃園區,房地(土地+建物),中正路1381~1410號,12.15,都市：其他:住宅區,,,1100111,土地1建物1車位0,十五層,十六層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0830803,115.85,3,2,2,有,有,7650000,66034,,0.0,0,,RPTQNLPKJHGGFAH18DA,79.89,0.0,13.92,有,0001
桃園區,房地(土地+建物),幸福路61~90號,11.57,都市：其他:商業區,,,1090823,土地1建物1車位0,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,93.3,2,2,1,有,有,7700000,82529,,0.0,0,預售屋、或土地及建物分次登記案件;,RPWWMLLJKHGGFAH58DA,59.62,0.0,4.0,有,
桃園區,房地(土地+建物)+車位,幸福路31~60號,11.3,都市：其他:商業區,,,1090804,土地1建物1車位1,五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,119.02000000000001,2,2,1,有,有,7850000,71035,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPSQMLOJKHGGFAH87DA,57.46,0.0,4.38,有,
桃園區,房地(土地+建物),幸福路31~60號,11.24,都市：其他:商業區,,,1081108,土地1建物1車位0,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,90.79,2,2,1,有,有,6800000,74898,,0.0,0,預售屋、或土地及建物分次登記案件;,RPTQMLOJKHGGFAH97DA,57.46,0.0,4.38,有,
桃園區,房地(土地+建物),幸福路31~60號,11.24,都市：其他:商業區,,,1081108,土地1建物1車位0,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,90.79,2,2,1,有,有,6800000,74898,,0.0,0,預售屋、或土地及建物分次登記案件;,RPUQMLOJKHGGFAH08DA,57.46,0.0,4.38,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.7,都市：其他:商業區,,,1090901,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,162.61,3,2,2,有,有,11500000,73666,坡道平面,28.22,1600000,預售屋、或土地及建物分次登記案件;,RPOOMLPJKHGGFAH37DA,80.28,0.0,11.29,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.24,都市：其他:商業區,,,1090522,土地1建物1車位1,二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,118.4,2,2,1,有,有,7870000,71745,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPVOMLPJKHGGFAH08DA,57.11,0.0,4.36,有,
桃園區,房地(土地+建物)+車位,幸福路31~60號,11.57,都市：其他:商業區,,,1090804,土地1建物1車位1,八層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,120.87,2,2,1,有,有,8480000,76417,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPPPMLPJKHGGFAH57DA,58.83,0.0,4.38,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,13.1,都市：其他:商業區,,,1090727,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,133.57,2,2,1,有,有,9090000,72995,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPRQMLPJKHGGFAH87DA,64.5,0.0,7.27,有,
桃園區,房地(土地+建物)+車位,正光路181~210號,42.26,都市：其他:第一之一種住宅區,,,1091215,土地1建物1車位2,六層,二十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1070507,323.92999999999995,3,2,3,有,有,30780000,100719,坡道平面,50.1,3200000,,RPRQMLRKKHGGFAH18DA,166.09,4.15,17.74,有,
桃園區,房地(土地+建物)+車位,健行路126巷1~30號,23.44,都市：其他:住宅區,,,1100125,土地1建物1車位1,二層,六層,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0831202,132.64999999999998,3,2,2,有,有,7000000,52770,坡道平面,0.0,0,,RPRPMLMLKHGGFAH67DA,77.67,0.45,7.62,有,0002
桃園區,房地(土地+建物)+車位,幸福路61~90號,13.1,都市：其他:商業區,,,1091014,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,133.57,2,2,1,有,有,9800000,77836,坡道平面,28.22,1600000,預售屋、或土地及建物分次登記案件;,RPTSMLNLKHGGFAH28DA,64.5,0.0,7.27,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,21.06,都市：其他:商業區,,,1091204,土地1建物1車位1,十二層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,197.82,3,2,2,有,有,15400000,82547,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPWSMLNLKHGGFAH58DA,103.99,0.0,11.59,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.26,都市：其他:商業區,,,1090820,土地1建物1車位1,四層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,158.85,3,2,2,有,有,11490000,74179,坡道平面,28.22,1800000,預售屋、或土地及建物分次登記案件;,RPOTMLNLKHGGFAH87DA,78.61,0.0,10.41,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.26,都市：其他:商業區,,,1090302,土地1建物1車位1,六層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,158.85,3,2,2,有,有,11760000,77011,坡道平面,28.22,1700000,含裝潢費200000元;預售屋、或土地及建物分次登記案件;,RPRTMLNLKHGGFAH18DA,78.61,0.0,10.41,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.26,都市：其他:商業區,,,1090824,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,158.85,3,2,2,有,有,12040000,78389,坡道平面,28.22,1800000,預售屋、或土地及建物分次登記案件;,RPTTMLNLKHGGFAH38DA,78.61,0.0,10.41,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,16.26,都市：其他:商業區,,,1090820,土地1建物1車位1,七層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,158.85,3,2,2,有,有,12000000,78083,坡道平面,28.22,1800000,預售屋、或土地及建物分次登記案件;,RPUTMLNLKHGGFAH48DA,78.61,0.0,10.41,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.62,都市：其他:商業區,,,1090802,土地1建物1車位1,十一層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,121.53,2,2,1,有,有,8680000,78020,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPPUMLNLKHGGFAH08DA,59.62,0.0,4.0,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,13.1,都市：其他:商業區,,,1091018,土地1建物1車位1,九層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,133.57,2,2,1,有,有,10120000,80873,坡道平面,28.22,1600000,預售屋、或土地及建物分次登記案件;,RPRUMLNLKHGGFAH28DA,64.5,0.0,7.27,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.24,都市：其他:商業區,,,1090621,土地1建物1車位1,十三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,118.4,2,2,1,有,有,8270000,76181,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPTUMLNLKHGGFAH48DA,57.11,0.0,4.36,有,
桃園區,房地(土地+建物)+車位,幸福路31~60號,11.3,都市：其他:商業區,,,1090801,土地1建物1車位1,三層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,119.02000000000001,2,2,1,有,有,8380000,76872,坡道平面,28.22,1400000,含裝潢費510000元;預售屋、或土地及建物分次登記案件;,RPUUMLNLKHGGFAH58DA,57.46,0.0,4.38,有,
桃園區,房地(土地+建物)+車位,幸福路31~60號,13.15,都市：其他:商業區,,,1090903,土地1建物1車位1,十三層,十四層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,133.70999999999998,2,2,1,有,有,9530000,77069,坡道平面,28.22,1400000,預售屋、或土地及建物分次登記案件;,RPXUMLNLKHGGFAH88DA,66.3,0.0,5.61,有,
桃園區,房地(土地+建物)+車位,幸福路61~90號,11.62,都市：其他:商業區,,,1090918,土地1建物1車位1,十五層,十五層,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,1091230,121.53,2,2,1,有,有,8660000,75662,坡道平面,28.22,1600000,預售屋、或土地及建物分次登記案件;,RPOVMLNLKHGGFAH08DA,59.62,0.0,4.0,有,
